4.2438 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.2443 	INFO 	Loaded monitor calibration from ['2025_07_02 14:21']
4.4853 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AE2E1CA500>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AE2E1CA560>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001AE2E222350>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.4854 	EXP 	window1: backgroundImage = ''
4.4854 	EXP 	window1: backgroundFit = 'none'
4.4915 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4921 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4928 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4936 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4944 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4948 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4955 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4963 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4966 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4969 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4976 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4982 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4988 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.4994 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5000 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5007 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5013 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5018 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5022 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5032 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5037 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5040 	DEBUG 	Uploading Texture Font fontname to graphics card
4.5068 	DEBUG 	Upload of Texture Font fontname complete
4.5123 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5132 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5140 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5142 	DEBUG 	Uploading Texture Font fontname to graphics card
4.5152 	DEBUG 	Upload of Texture Font fontname complete
4.5168 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.5169 	EXP 	window1: recordFrameIntervals = False
4.6864 	EXP 	window1: recordFrameIntervals = True
4.8698 	EXP 	Screen (0) actual frame rate measured at 60.05Hz
4.8698 	EXP 	window1: recordFrameIntervals = False
4.8747 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8751 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8758 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8768 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8777 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8786 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8790 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8798 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8807 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8816 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8818 	DEBUG 	Uploading Texture Font fontname to graphics card
4.8823 	DEBUG 	Upload of Texture Font fontname complete
5.1454 	INFO 	keyboard.Keyboard is using ptb backend.
5.1455 	INFO 	keyboard.Keyboard is using ptb backend.
5.1455 	EXP 	untitled: status = STARTED
5.2117 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='new block\n', units='height', win=Window(...), wrapWidth=1)
5.2124 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
5.2432 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='C:/Users/mattp/Pictures/image (9).png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([-0.5,  0. ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
